
2024/06/29 (03:59:02) | ===> btop++ v.1.3.2
2024/06/29 (03:59:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/29 (03:59:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/30 (00:24:12) | ===> btop++ v.1.3.2
2024/06/30 (00:24:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/30 (00:24:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/30 (00:25:02) | ===> btop++ v.1.3.2
2024/06/30 (00:25:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/30 (00:25:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/30 (00:26:22) | ===> btop++ v.1.3.2
2024/06/30 (00:26:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/30 (00:26:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/30 (00:50:11) | ===> btop++ v.1.3.2
2024/06/30 (00:50:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/30 (00:50:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/30 (01:17:45) | ===> btop++ v.1.3.2
2024/06/30 (01:17:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/30 (01:17:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/30 (01:28:34) | ===> btop++ v.1.3.2
2024/06/30 (01:28:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/06/30 (01:28:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (00:24:24) | ===> btop++ v.1.3.2
2024/07/07 (00:24:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (00:24:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (01:19:40) | ===> btop++ v.1.3.2
2024/07/07 (01:19:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (01:19:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (16:34:48) | ===> btop++ v.1.3.2
2024/07/07 (16:34:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (16:34:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (16:34:51) | ===> btop++ v.1.3.2
2024/07/07 (16:34:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (16:34:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (16:40:06) | ===> btop++ v.1.3.2
2024/07/07 (16:40:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (16:40:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (18:29:12) | ===> btop++ v.1.3.2
2024/07/07 (18:29:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (18:29:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (18:29:22) | ===> btop++ v.1.3.2
2024/07/07 (18:29:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (18:29:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/12 (22:42:30) | ===> btop++ v.1.3.2
2024/07/12 (22:42:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/12 (22:42:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (01:57:04) | ===> btop++ v.1.3.2
2024/07/13 (01:57:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/13 (01:57:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (01:57:21) | ===> btop++ v.1.3.2
2024/07/13 (01:57:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/13 (01:57:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (19:42:45) | ===> btop++ v.1.3.2
2024/07/13 (19:42:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/13 (19:42:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (23:48:20) | ===> btop++ v.1.3.2
2024/07/13 (23:48:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/13 (23:48:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/13 (23:48:31) | ===> btop++ v.1.3.2
2024/07/13 (23:48:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/13 (23:48:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/14 (01:14:40) | ===> btop++ v.1.3.2
2024/07/14 (01:14:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/14 (01:14:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/14 (01:14:47) | ===> btop++ v.1.3.2
2024/07/14 (01:14:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/14 (01:14:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/14 (01:14:54) | ===> btop++ v.1.3.2
2024/07/14 (01:14:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/14 (01:14:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/14 (01:14:59) | ===> btop++ v.1.3.2
2024/07/14 (01:14:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/14 (01:14:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/15 (23:12:02) | ===> btop++ v.1.3.2
